Time,NAQM-5,NAQM-20,Tail Drop
1,3,11,15
2,2,13,17
3,5,16,20
4,4,18,21
5,1,20,19
6,3,17,20
7,2,15,17
8,5,16,15
9,2,18,18
10,5,20,19
11,3,21,20
12,4,19,19
13,2,18,20
14,5,20,18
15,2,17,20
16,3,15,17
17,1,18,19
18,4,16,20
19,6,14,21
20,3,17,20
21,5,20,18
22,6,20,21
23,2,18,17
24,4,19,19
25,5,20,18
26,2,21,17
27,6,18,18
28,1,15,20
29,4,17,17
30,3,20,18
31,2,21,19
32,5,19,21
33,1,20,20
34,3,17,17
35,5,15,15
36,2,18,20
37,5,19,17
38,1,20,19
39,2,19,18
40,4,20,20
41,6,18,21
42,3,20,20
43,5,17,19
44,2,19,20
45,4,20,18
46,5,21,20
47,2,20,17
48,5,18,19
49,2,21,17
50,3,17,19
51,4,19,18
52,4,18,17
53,5,17,19
54,1,18,20
55,2,20,21
56,3,17,19
57,5,18,20
58,3,19,21
59,6,21,18
60,2,20,17
61,3,17,19
62,4,15,20
63,5,20,18
64,6,17,21
65,3,19,20
66,5,18,17
67,6,20,19
68,3,21,20
69,2,20,18
70,4,19,20
71,5,20,18
72,6,18,19
73,2,20,16
74,3,17,17
75,4,20,19
76,5,17,20
77,2,18,17
78,4,20,21
79,5,17,19
80,6,20,21
81,2,21,20
82,3,19,17
83,5,17,15
84,1,20,20
85,2,21,17
86,3,19,19
87,4,17,18
88,5,18,18
89,4,19,20
90,6,20,17
91,3,17,19
92,5,20,20
93,6,18,21
94,2,19,20
95,3,20,18
96,4,17,21
97,5,16,17
98,6,18,19
99,2,19,18
100,3,20,17
101,4,17,18
102,5,21,20
103,1,20,17
104,2,17,18
105,3,19,19
106,4,17,21
107,5,19,20
108,6,18,17
109,5,17,15
110,4,19,20
111,5,20,17
112,3,21,19
113,4,19,18
114,5,20,20
115,4,21,21
116,5,18,20
117,3,17,19
118,4,19,19
119,5,20,18
120,6,18,17
121,3,21,18
122,4,20,20
123,5,17,17
124,6,19,18
125,2,20,19
126,3,18,21
127,4,20,20
128,5,18,17
129,2,19,15
130,3,16,20
131,4,17,17
132,5,19,19
133,6,20,18
134,3,17,20
135,4,21,21
136,5,19,20
137,6,21,19
138,2,20,20
139,3,17,18
140,4,15,20
141,5,20,17
142,3,17,20
143,4,19,17
144,6,18,18
145,4,20,20
146,5,21,17
147,6,20,20
148,3,19,21
149,4,20,19
150,5,18,17
151,2,20,20
152,5,17,21
153,4,20,19
154,3,17,17
155,2,18,18
156,6,20,19
157,5,17,20
158,4,20,17
159,2,21,20
160,6,19,18
161,3,17,19
162,4,20,20
163,5,21,17
164,3,19,16
165,6,17,18
166,5,18,19
167,2,19,20
168,4,20,17
169,5,17,21
170,6,20,21
171,3,18,20
172,2,19,17
173,4,20,15
174,5,17,20
175,3,16,17
176,6,18,19
177,2,19,18
178,5,20,20
179,4,17,21
180,2,21,20
181,6,20,19
182,3,17,20
183,4,19,18
184,5,17,20
185,3,19,17
186,6,18,20
187,5,17,17
188,2,19,18
189,4,20,20
190,2,21,17
191,5,19,20
192,3,20,21
193,6,21,19
194,5,18,17
195,4,17,20
196,5,20,21
197,6,17,19
198,3,21,17
199,5,20,18
200,2,17,19
201,4,19,20
202,5,17,17
203,2,19,20
204,5,18,18
205,4,17,19
206,3,19,20
207,5,20,17
208,3,21,19
209,2,19,20
210,5,20,18
211,4,21,20
212,3,18,18
213,5,17,19
214,2,19,16
215,6,20,17
216,3,18,19
217,5,21,20
218,4,20,17
219,5,17,21
220,6,19,19
221,4,20,21
222,5,18,20
223,6,20,17
224,5,18,15
225,4,19,20
226,6,16,17
227,5,17,19
228,4,19,18
229,5,20,20
230,6,17,21
231,5,21,20
232,6,19,20
233,5,21,17
234,5,20,19
235,6,17,17
236,2,15,19
237,5,20,18
238,4,17,17
239,3,19,19
240,2,18,20
241,5,20,21
242,6,21,19
243,2,20,20
244,4,19,21
245,2,20,18
246,5,17,17
247,2,15,19
248,5,20,20
249,3,17,18
250,3,17,18
